student.id,student.fte_mean,student.term_gpa_mean,student.term_gpa_max,student.term_gpa_min,student.term_gpa_last,student.term_gpa_program_mean,student.term_gpa_program_max,student.term_gpa_program_min,student.term_gpa_program_last,student.status_academic_desc_last,student.isGraduated_max,graduation_year_max,student.gender_desc,student.age,student_permAddress.zone_type,student_originSchool.gpa,student_originSchool.isITESM,student.isForeign,student.isFirstGeneration,student_admission_test.score,student_admission_test_disc.dominance_score,student_admission_test_disc.influence_score,student_admission_test_disc.steadiness_score,student_admission_test_disc.conscientiousness_score,student_admission_test_valuesIndex.aesthetic_score,student_admission_test_valuesIndex.economic_score,student_admission_test_valuesIndex.individualistic_score,student_admission_test_valuesIndex.political_score,student_admission_test_valuesIndex.altruistic_score,student_admission_test_valuesIndex.regulatory_score,student_admission_test_valuesIndex.theoretical_score,student.cohort_id,student.isTec21,mainCampus.region_code,program.school_desc,program.major_id
34,1.08,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,7,0,-1,Female,0,1,94.2,0,0,1,1414,56,67,39,67,46,46,43,51,56,38,75,2018,0,RCMX,EIC,IBT
40,0.715625,79.55625,100.0,62.3,70.0,81.0625,83.4,79.6,80.8,7,1,2022FJ,Female,1,0,92.0,0,1,-1,1414,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015,0,RCMX,EAAD,LAD
50,0.6553333333333333,83.28,100.0,43.7,43.7,87.01333333333334,89.1,82.3,83.8,7,0,-1,Male,0,-1,97.0,0,0,1,1437,49,67,77,39,51,25,25,65,81,50,55,2018,0,RCS,EIC,IMT
54,0.8038461538461538,85.28461538461539,98.0,0.0,89.4,89.88461538461539,92.8,86.5,92.6,7,1,2022FJ,Male,0,0,95.0,0,1,1,1410,42,99,53,46,46,55,50,58,51,18,80,2017,0,RCMX,EIC,IID
61,0.8200000000000001,85.01333333333334,100.0,0.0,97.0,97.26,97.9,93.8,97.6,7,1,2022AD,Female,0,0,99.61,0,1,1,1474,42,60,53,77,41,3,40,55,91,45,73,2017,0,RM,EIC,BCN
85,0.5955555555555556,86.04444444444444,100.0,0.0,91.0,86.18333333333334,89.9,82.1,89.9,7,1,2023FJ,Female,0,0,97.0,0,0,0,1413,56,53,53,67,45,31,33,43,78,43,80,2017,0,RCS,EIC,IBT
88,0.6428571428571429,87.85000000000001,100.0,0.0,93.5,93.25714285714285,94.6,92.0,94.5,7,0,-1,Male,0,1,94.3,1,1,0,1514,35,60,88,53,63,15,68,35,71,41,56,2018,0,RCS,EHE,IMI
143,0.648125,90.43125,98.0,82.6,95.7,88.7875,90.2,87.7,89.3,7,1,2021FJ,Male,1,1,96.0,0,1,-1,1523,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016,0,RN,EIC,IMT
162,1.04,80.18333333333332,87.6,74.1,74.1,81.33333333333333,82.6,79.9,79.9,7,0,-1,Male,0,0,93.44,0,1,-1,1479,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2014,0,RCMX,EIC,ISD
170,0.7364285714285714,98.29285714285713,100.0,94.3,99.2,98.40714285714286,99.2,97.8,98.0,7,1,2020FJ,Female,0,0,100.0,0,1,-1,1541,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015,0,RCMX,EN,LCPF
